temperature,pumpA,pumpB,scores
0.2,0.32432432432432434,0.5405405405405406,0.0
0.7,0.0,1.0,0.064051262
0.95,0.0,1.0,0.071420959
1.0,0.0,1.0,0.06464825
0.7,1.0,1.0,0.204373526
0.95,1.0,0.0,0.0
0.95,0.7567567567567568,0.0,0.0
1.0,1.0,1.0,0.572964332
0.6,1.0,1.0,0.115285688
0.65,1.0,1.0,0.141184067
0.65,0.972972972972973,1.0,0.146505473
0.65,1.0,0.972972972972973,0.142584533
0.65,1.0,0.9459459459459459,0.149668364
0.65,0.972972972972973,0.972972972972973,0.145590922
0.7,0.972972972972973,1.0,0.200585334
1.0,0.972972972972973,1.0,0.559214868
1.0,0.9459459459459459,1.0,0.564972797
1.0,0.918918918918919,1.0,0.587780858
1.0,0.8648648648648649,1.0,0.566733129
1.0,0.8918918918918919,1.0,0.582595084
1.0,0.8378378378378378,1.0,0.555391577
1.0,0.8108108108108109,1.0,0.538903434
1.0,1.0,0.972972972972973,0.627623103
1.0,1.0,0.8378378378378378,0.694640356
1.0,1.0,0.7297297297297297,0.728087557
1.0,1.0,0.6756756756756757,0.744971745
1.0,1.0,0.6486486486486487,0.753598844
1.0,1.0,0.6216216216216216,0.752026815
1.0,1.0,0.5945945945945946,0.750072409
1.0,1.0,0.5675675675675675,0.744488313
1.0,0.972972972972973,0.6486486486486487,0.75104695
1.0,0.972972972972973,0.6216216216216216,0.757809538
1.0,0.972972972972973,0.5945945945945946,0.761107163
1.0,0.918918918918919,0.6486486486486487,0.748992249
1.0,0.9459459459459459,0.6216216216216216,0.756713065
1.0,0.9459459459459459,0.5945945945945946,0.76535473
1.0,0.918918918918919,0.6216216216216216,0.763692138
1.0,0.918918918918919,0.5945945945945946,0.763271235
1.0,0.8918918918918919,0.6216216216216216,0.755129721
1.0,0.8918918918918919,0.6486486486486487,0.743076135
1.0,0.972972972972973,0.5675675675675675,0.758237458
1.0,0.9459459459459459,0.6486486486486487,0.755064504
