residence_time,temperature,dppa,isoporopanol,yields
5.0,30.0,1.25,1.5,42.38461538461539
15.0,30.0,1.5,1.25,25.5
15.0,60.0,1.0,3.0,23.272727272727273
2.0,30.0,3.0,2.0,32.0
15.0,140.0,3.0,1.0,43.45168942821265
3.0,140.0,3.0,3.0,59.04683758362867
2.0,140.0,3.0,3.0,53.77074261100939
2.0,140.0,3.0,1.75,55.773903982979995
2.0,140.0,3.0,2.75,58.09444256218123
2.0,140.0,2.75,3.0,61.097735346579995
2.0,140.0,3.0,2.5,59.32065193020572
2.0,140.0,2.5,1.0,55.39533404914714
2.0,140.0,1.0,1.0,66.69408058633613
2.0,140.0,1.0,3.0,69.98525627291939
2.0,140.0,1.0,2.75,70.30748826630266
2.0,140.0,1.0,2.5,69.67946827168367
2.0,140.0,1.0,2.25,70.79082566864633
2.0,140.0,1.1,3.0,71.65607461734695
3.0,140.0,1.0,2.25,73.09154396715867
4.0,140.0,1.0,2.5,73.71274852902405
4.0,140.0,1.0,3.0,74.23510545763529
5.0,140.0,1.0,3.0,71.51669733116356
4.0,140.0,1.0,2.75,71.17906335085121
5.0,140.0,1.0,2.75,102.85194164617478
5.0,140.0,1.1,3.0,99.90934234571233
5.0,140.0,1.25,3.0,101.13892147716967
10.0,140.0,3.0,3.0,66.64336247945688
5.0,140.0,1.1,2.75,35.13413178999346
3.0,140.0,1.0,3.0,34.46153846153847
