temperature,pumpA,pumpB,scores
105.0,225.0,925.0,15.54311876798932
105.0,1000.0,900.0,25.550922995903576
130.0,1000.0,1000.0,32.87775192648149
125.0,50.0,50.0,22.46701861682239
130.0,50.0,50.0,22.41745141156672
115.0,1000.0,50.0,7.272727272727273
95.0,1000.0,50.0,9.09090909090909
100.0,1000.0,1000.0,22.15658215996872
130.0,50.0,1000.0,8.309337824041194
130.0,1000.0,50.0,5.909090909090909
120.0,50.0,50.0,22.960475648072432
100.0,1000.0,50.0,8.636363636363637
130.0,425.0,250.0,49.55263460904425
125.0,50.0,1000.0,8.91471169211648
100.0,50.0,50.0,24.3768086558849
120.0,50.0,1000.0,9.102578874067829
125.0,1000.0,1000.0,32.36000068358378
100.0,50.0,1000.0,10.844332747025923
120.0,1000.0,1000.0,29.931052263839447
130.0,1000.0,75.0,6.04066985645933
95.0,525.0,575.0,19.013976093506603
130.0,775.0,875.0,28.719636299306416
90.0,450.0,50.0,6.6507177298894
130.0,50.0,325.0,8.009342408978778
130.0,625.0,50.0,3.9354066985645932
130.0,300.0,525.0,19.696487626224158
