temperature,pumpA,pumpB,scores
125.0,50.0,1000.0,11.48034286
100.0,50.0,50.0,44.47931054
120.0,50.0,1000.0,11.33656893
125.0,1000.0,1000.0,52.9758941
100.0,50.0,1000.0,12.80393629
120.0,1000.0,1000.0,47.43493798
130.0,1000.0,75.0,6.131578947
95.0,525.0,575.0,28.28389832
130.0,775.0,875.0,49.1297741
90.0,450.0,50.0,7.105263184
130.0,50.0,325.0,13.91893977
130.0,625.0,50.0,4.026315789
130.0,300.0,525.0,35.50722385
130.0,375.0,575.0,40.9794932
130.0,325.0,475.0,39.43440942
130.0,475.0,725.0,41.62505587
130.0,500.0,650.0,43.34928967
130.0,425.0,600.0,41.63963521
130.0,600.0,800.0,44.22143301
130.0,450.0,500.0,46.3070535
130.0,925.0,700.0,60.27984787
130.0,1000.0,450.0,47.27568681
130.0,475.0,275.0,66.22157908
95.0,500.0,1000.0,24.45622395
120.0,350.0,250.0,61.79114712
130.0,1000.0,1000.0,54.874294978461265
105.0,575.0,275.0,36.40343131368512
130.0,425.0,275.0,72.13932748522798
130.0,1000.0,975.0,56.86203368499312
105.0,850.0,375.0,33.71963909008858
130.0,425.0,250.0,75.88160369751196
130.0,1000.0,950.0,58.76540560959518
130.0,275.0,50.0,18.021040194462945
115.0,50.0,675.0,11.661173589606037
130.0,850.0,575.0,73.53233235849787
130.0,400.0,275.0,73.22454081990573
100.0,775.0,575.0,39.62843535840648
130.0,800.0,575.0,73.21085763523305
130.0,825.0,525.0,76.53134087714317
130.0,825.0,500.0,78.09752384367319
130.0,850.0,500.0,80.11074589657647
