temperature,pumpA,pumpB,scores
125,50,1000,11.48034286
100,50,50,44.47931054
120,50,1000,11.33656893
125,1000,1000,52.9758941
100,50,1000,12.80393629
120,1000,1000,47.43493798
130,1000,75,6.131578947
95,525,575,28.28389832
130,775,875,49.1297741
90,450,50,7.105263184
130,50,325,13.91893977
130,625,50,4.026315789
130,300,525,35.50722385
130,375,575,40.9794932
130,325,475,39.43440942
130,475,725,41.62505587
130,500,650,43.34928967
130,425,600,41.63963521
130,600,800,44.22143301
130,450,500,46.3070535
130,925,700,60.27984787
130,1000,450,47.27568681
130,475,275,66.22157908
95,500,1000,24.45622395
120,350,250,61.79114712
